CHEM_ID	SUPER_PATHWAY	SUB_PATHWAY	CHEMICAL_NAME	HMDB	KEGG
250	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	biliverdin	HMDB0001008	C00500
252	Energy	TCA Cycle	succinate	HMDB0000254	C00042
254	Lipid	Ketone Bodies	3-hydroxybutyrate (BHBA)	HMDB0000442,HMDB0000357,HMDB0000011	C03197,C01089
264	Lipid	Sterol	7-dehydrocholesterol	HMDB0000032	C01164
266	Lipid	Sterol	cholesterol	HMDB0000067	C00187
267	Lipid	Phospholipid Metabolism	choline phosphate	HMDB0001565	C00588
273	Lipid	Corticosteroids	cortisone	HMDB0002802	C00762
275	Amino Acid	Creatine Metabolism	creatinine	HMDB0000562	C00791
280	Nucleotide	Pyrimidine Metabolism, Cytidine containing	cytidine diphosphate	HMDB0001546	C00112
282	Nucleotide	Pyrimidine Metabolism, Cytidine containing	cytidine 5'-monophosphate (5'-CMP)	HMDB0000095	C00055
291	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	glucose 6-phosphate	HMDB0001401	C00092
297	Lipid	Sphingosines	sphingosine	HMDB0000252	C00319
298	Nucleotide	Pyrimidine Metabolism, Cytidine containing	2'-deoxycytidine 5'-monophosphate	HMDB0001202	C00239
301	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	dehydroascorbate	HMDB0001264	C05422
309	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	dihydroxyacetone phosphate (DHAP)	HMDB0001473	C00111
313	Lipid	Sphingolipid Synthesis	sphinganine	HMDB0000269	C00836
314	Lipid	Long Chain Saturated Fatty Acid	behenate (22:0)*	HMDB0000944	C08281
327	Cofactors and Vitamins	Riboflavin Metabolism	flavin adenine dinucleotide (FAD)	HMDB0001248	C00016
328	Cofactors and Vitamins	Folate Metabolism	folate	HMDB0000121	C00504
330	Energy	TCA Cycle	fumarate	HMDB0000134	C00122
331	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamylglutamate	HMDB0011737	C05282
338	Xenobiotics	Food Component/Plant	gluconate	HMDB0000625	C00257
339	Lipid	Fatty Acid, Dicarboxylate	glutarate (C5-DC)	HMDB0000661	C00489
340	Amino Acid	Glycine, Serine and Threonine Metabolism	glycine	HMDB0000123	C00037
342	Lipid	Primary Bile Acid Metabolism	glycocholate	HMDB0000138	C01921
344	Amino Acid	Creatine Metabolism	guanidinoacetate	HMDB0000128	C00581
347	Nucleotide	Purine Metabolism, Guanine containing	guanosine 5'-monophosphate (5'-GMP)	HMDB0001397	C00144
348	Nucleotide	Purine Metabolism, Guanine containing	2'-deoxyguanosine	HMDB0000085	C00330
354	Amino Acid	Histidine Metabolism	histamine	HMDB0000870	C00388
355	Amino Acid	Histidine Metabolism	histidine	HMDB0000177	C00135
358	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	hypotaurine	HMDB0000965	C00519
361	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	inosine	HMDB0000195	C00294
363	Lipid	Inositol Metabolism	myo-inositol	HMDB0000211	C00137
370	Lipid	Inositol Metabolism	inositol 1-phosphate (I1P)	HMDB0000213	C01177
376	Amino Acid	Leucine, Isoleucine and Valine Metabolism	isoleucine	HMDB0000172	C06418,C00407,C16424
381	Amino Acid	Lysine Metabolism	2-aminoadipate	HMDB0000510	C00956
382	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	3-sulfo-alanine	HMDB0002757	C00506
391	Amino Acid	Urea cycle; Arginine and Proline Metabolism	citrulline	HMDB0000904	C00327
397	Amino Acid	Leucine, Isoleucine and Valine Metabolism	leucine	HMDB0000687	C00123
407	Amino Acid	Lysine Metabolism	lysine	HMDB0003405	C00739,C00047
409	Energy	TCA Cycle	malate	HMDB0031518,HMDB0000156,HMDB0000744	C00149,C00711,C00497
415	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	methionine	HMDB0000696	C00073
420	Lipid	Phospholipid Metabolism	ethanolamine	HMDB0000149	C00189
432	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	nicotinamide	HMDB0001406	C00153
444	Amino Acid	Urea cycle; Arginine and Proline Metabolism	ornithine	HMDB0000214	C00077
445	Nucleotide	Pyrimidine Metabolism, Orotate containing	orotate	HMDB0000226	C00295
448	Amino Acid	Glutathione Metabolism	glutathione, oxidized (GSSG)	HMDB0003337	D00031,C00127
452	Lipid	Long Chain Monounsaturated Fatty Acid	palmitoleate (16:1n7)	HMDB0003229	C08362
460	Amino Acid	Phenylalanine Metabolism	phenylalanine	HMDB0000159	C00079
461	Energy	Oxidative Phosphorylation	phosphate	HMDB0001429	C00009
463	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	phosphoenolpyruvate (PEP)	HMDB0000263	C00074
469	Lipid	Sphingolipid Synthesis	phytosphingosine	HMDB0004610	C12144
